function, , time (ms), max (ms), num
"*", " applyHandlers", 7 373, 45, 5 732
"*", " calc reachable", 1 475, 22, 5 732
"*", " fillElemMap", 1 441, 21, 5 732
"*", " otherApplies", 1 252, 36, 5 732
"*", " prevalNotify", 947, 34, 5 732
"*", " passed2unknown", 769, 18, 5 732
"*", " topsort", 767, 27, 5 732
"java/lang/StringBuilder.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;", "all", 647, 24, 241
"*", " updateAml2valMap", 604, 17, 5 732
"*", " annotationApply", 536, 15, 5 732
"*", " delayedJoins", 457, 13, 5 732
"*", "getDefinitionsForValues", 436, 34, 10 671
"*", " prepair", 402, 15, 5 732
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.constructCreatorProperty:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/PropertyName;ILcom/fasterxml/jackson/databind/introspect/AnnotatedParameter;Lcom/fasterxml/jackson/annotation/JacksonInject$Value;)Lcom/fasterxml/jackson/databind/deser/SettableBeanProperty;", "all", 392, 27, 39
"java/util/Iterator.hasNext:()Z", "all", 347, 15, 307
"java/util/Iterator.next:()Ljava/lang/Object;", "all", 321, 21, 241
"java/lang/Object.equals:(Ljava/lang/Object;)Z", "all", 244, 22, 73
"com/fasterxml/jackson/databind/JavaType.getRawClass:()Ljava/lang/Class;", "all", 242, 49, 90
"com/houarizegai/calculator/ui/CalculatorUI.createButton:(Ljava/lang/String;II)Ljavax/swing/JButton;", "all", 221, 22, 22
"java/util/List.get:(I)Ljava/lang/Object;", "all", 220, 66, 53
"com/houarizegai/calculator/util/ColorUtil.hex2Color:(Ljava/lang/String;)Ljava/awt/Color;", "all", 219, 16, 51
"java/lang/Class.isAssignableFrom:(Ljava/lang/Class;)Z", "all", 214, 23, 110
"com/fasterxml/jackson/databind/type/TypeFactory._fromClass:(Lcom/fasterxml/jackson/databind/type/ClassStack;Ljava/lang/Class;Lcom/fasterxml/jackson/databind/type/TypeBindings;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 193, 28, 11
"*", " updatePtTo", 186, 27, 5 732
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._addExplicitAnyCreator:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/deser/impl/CreatorCollector;Lcom/fasterxml/jackson/databind/deser/impl/CreatorCandidate;Lcom/fasterxml/jackson/databind/cfg/ConstructorDetector;)V", "all", 179, 44, 8
"com/fasterxml/jackson/databind/cfg/MapperConfig.isEnabled:(Lcom/fasterxml/jackson/databind/MapperFeature;)Z", "all", 179, 19, 42
"com/fasterxml/jackson/databind/type/TypeFactory._fromAny:(Lcom/fasterxml/jackson/databind/type/ClassStack;Ljava/lang/reflect/Type;Lcom/fasterxml/jackson/databind/type/TypeBindings;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 174, 53, 10
"java/lang/StringBuilder.toString:()Ljava/lang/String;", "all", 167, 19, 85
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._addExplicitPropertyCreator:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/deser/impl/CreatorCollector;Lcom/fasterxml/jackson/databind/deser/impl/CreatorCandidate;)V", "all", 167, 33, 10
"java/util/Collection.add:(Ljava/lang/Object;)Z", "all", 163, 17, 67
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked.withNext:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;)Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;", "all", 159, 19, 21
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._addExplicitDelegatingCreator:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/deser/impl/CreatorCollector;Lcom/fasterxml/jackson/databind/deser/impl/CreatorCandidate;)V", "all", 151, 39, 8
"com/fasterxml/jackson/databind/deser/impl/CreatorCandidate.construct:(Lcom/fasterxml/jackson/databind/AnnotationIntrospector;Lcom/fasterxml/jackson/databind/introspect/AnnotatedWithParams;[Lcom/fasterxml/jackson/databind/introspect/BeanPropertyDefinition;)Lcom/fasterxml/jackson/databind/deser/impl/CreatorCandidate;", "all", 148, 17, 22
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.findTypeDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;", "all", 147, 23, 22
"java/util/Collection.iterator:()Ljava/util/Iterator;", "all", 140, 23, 72
"com/fasterxml/jackson/databind/deser/impl/JavaUtilCollectionsDeserializers.converter:(ILcom/fasterxml/jackson/databind/JavaType;Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/deser/impl/JavaUtilCollectionsDeserializers$JavaUtilCollectionsConverter;", "all", 136, 22, 14
"com/fasterxml/jackson/databind/deser/impl/CreatorCollector.verifyNonDup:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedWithParams;IZ)Z", "all", 129, 20, 10
"com/houarizegai/calculator/theme/properties/Theme.getTextColor:()Ljava/lang/String;", "all", 128, 32, 24
"java/lang/Class.getName:()Ljava/lang/String;", "all", 121, 17, 73
"com/fasterxml/jackson/databind/cfg/MapperConfig.getAnnotationIntrospector:()Lcom/fasterxml/jackson/databind/AnnotationIntrospector;", "all", 119, 22, 19
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription._properties:()Ljava/util/List;", "all", 116, 43, 4
"com/fasterxml/jackson/databind/PropertyName.isEmpty:()Z", "all", 114, 41, 19
"*", "1 add globals", 111, 6, 5 732
"java/lang/Object.<init>:()V", "all", 110, 11, 96
"*", " simplifiedValMap", 109, 3, 5 732
"com/fasterxml/jackson/databind/deser/DefaultDeserializationContext.deserializerInstance:(Lcom/fasterxml/jackson/databind/introspect/Annotated;Ljava/lang/Object;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 101, 41, 12
"java/util/Map.put:(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;", "all", 95, 16, 42
"com/fasterxml/jackson/databind/introspect/AnnotatedWithParams.getParameter:(I)Lcom/fasterxml/jackson/databind/introspect/AnnotatedParameter;", "all", 93, 6, 25
"com/fasterxml/jackson/databind/DeserializationContext.getConfig:()Lcom/fasterxml/jackson/databind/DeserializationConfig;", "all", 89, 9, 62
"com/fasterxml/jackson/databind/DeserializationContext.getAnnotationIntrospector:()Lcom/fasterxml/jackson/databind/AnnotationIntrospector;", "all", 88, 14, 17
"java/lang/Object.toString:()Ljava/lang/String;", "all", 86, 29, 23
"*", " push", 86, 22, 5 732
"com/fasterxml/jackson/databind/deser/BeanDeserializerFactory.constructSettableProperty:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/introspect/BeanPropertyDefinition;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/deser/SettableBeanProperty;", "all", 84, 11, 12
"java/util/Map.get:(Ljava/lang/Object;)Ljava/lang/Object;", "all", 84, 14, 48
"java/lang/String.startsWith:(Ljava/lang/String;)Z", "all", 81, 14, 22
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.addAll:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder;)V", "all", 81, 31, 6
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.findValueInstantiator:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;)Lcom/fasterxml/jackson/databind/deser/ValueInstantiator;", "all", 80, 22, 14
"*", " updateBaseSymbolToRetValMap", 80, 5, 5 732
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.getMetadata:()Lcom/fasterxml/jackson/databind/PropertyMetadata;", "all", 78, 27, 5
"com/fasterxml/jackson/databind/DeserializationContext.findRootValueDeserializer:(Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 78, 49, 6
"com/fasterxml/jackson/databind/introspect/CollectorBase.collectAnnotations:(Lcom/fasterxml/jackson/databind/introspect/AnnotationCollector;[Ljava/lang/annotation/Annotation;)Lcom/fasterxml/jackson/databind/introspect/AnnotationCollector;", "all", 76, 14, 10
"com/fasterxml/jackson/databind/deser/DefaultDeserializationContext$Impl.with:(Lcom/fasterxml/jackson/databind/deser/DeserializerFactory;)Lcom/fasterxml/jackson/databind/deser/DefaultDeserializationContext;", "all", 75, 40, 5
"com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.collectAll:()V", "all", 73, 22, 5
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.resolveMemberAndTypeAnnotations:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/introspect/AnnotatedMember;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 72, 16, 12
"com/fasterxml/jackson/databind/PropertyName.getSimpleName:()Ljava/lang/String;", "all", 71, 10, 26
"java/lang/String.format:(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;", "all", 70, 13, 32
"java/lang/Object.getClass:()Ljava/lang/Class;", "all", 69, 19, 41
"java/util/Arrays.copyOf:([Ljava/lang/Object;I)[Ljava/lang/Object;", "all", 67, 24, 10
"com/fasterxml/jackson/databind/type/TypeBase.<init>:(Ljava/lang/Class;Lcom/fasterxml/jackson/databind/type/TypeBindings;Lcom/fasterxml/jackson/databind/JavaType;[Lcom/fasterxml/jackson/databind/JavaType;ILjava/lang/Object;Ljava/lang/Object;Z)V", "all", 67, 24, 7
"com/fasterxml/jackson/databind/cfg/MapperConfig.constructType:(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 66, 28, 3
"com/fasterxml/jackson/databind/util/ClassUtil.getTypeDescription:(Lcom/fasterxml/jackson/databind/JavaType;)Ljava/lang/String;", "all", 64, 24, 10
"java/lang/StringBuilder.<init>:()V", "all", 64, 5, 80
"com/fasterxml/jackson/databind/JavaType.hasRawClass:(Ljava/lang/Class;)Z", "all", 63, 16, 20
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder._explode:(Ljava/util/Collection;Ljava/util/Map;Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;)V", "all", 61, 26, 4
"com/fasterxml/jackson/databind/introspect/BasicClassIntrospector.constructPropertyCollector:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;Lcom/fasterxml/jackson/databind/introspect/AnnotatedClass;Lcom/fasterxml/jackson/databind/JavaType;ZLcom/fasterxml/jackson/databind/introspect/AccessorNamingStrategy;)Lcom/fasterxml/jackson/databind/introspect/POJOPropertiesCollector;", "all", 61, 37, 2
"com/fasterxml/jackson/databind/PropertyName.construct:(Ljava/lang/String;)Lcom/fasterxml/jackson/databind/PropertyName;", "all", 61, 16, 14
"java/lang/IllegalArgumentException.<init>:(Ljava/lang/String;)V", "all", 60, 3, 62
"java/util/regex/Pattern.matches:(Ljava/lang/String;Ljava/lang/CharSequence;)Z", "all", 58, 9, 28
"com/fasterxml/jackson/databind/introspect/BasicClassIntrospector.collectProperties:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/introspect/ClassIntrospector$MixInResolver;Z)Lcom/fasterxml/jackson/databind/introspect/POJOPropertiesCollector;", "all", 58, 35, 2
"java/util/Collection.size:()I", "all", 57, 15, 26
"com/houarizegai/calculator/ui/CalculatorUI.createComboBox:([Ljava/lang/String;IILjava/lang/String;)Ljavax/swing/JComboBox;", "all", 55, 50, 2
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.getName:()Ljava/lang/String;", "all", 55, 7, 20
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._handleSingleArgumentCreator:(Lcom/fasterxml/jackson/databind/deser/impl/CreatorCollector;Lcom/fasterxml/jackson/databind/introspect/AnnotatedWithParams;ZZ)Z", "all", 54, 15, 4
"com/houarizegai/calculator/ui/CalculatorUI.applyTheme:(Lcom/houarizegai/calculator/theme/properties/Theme;)V", "all", 53, 36, 2
"com/fasterxml/jackson/databind/cfg/MapperConfig.canOverrideAccessModifiers:()Z", "all", 53, 6, 19
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder._applyAnnotations:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;Lcom/fasterxml/jackson/databind/introspect/AnnotationMap;)Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;", "all", 53, 20, 6
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.findInjectables:()Ljava/util/Map;", "all", 50, 50, 1
"com/fasterxml/jackson/databind/deser/SettableBeanProperty.getName:()Ljava/lang/String;", "all", 50, 4, 24
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked.<init>:(Ljava/lang/Object;Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;Lcom/fasterxml/jackson/databind/PropertyName;ZZZ)V", "all", 49, 11, 7
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.removeNonVisible:(ZLcom/fasterxml/jackson/databind/introspect/POJOPropertiesCollector;)Lcom/fasterxml/jackson/annotation/JsonProperty$Access;", "all", 49, 31, 2
"com/fasterxml/jackson/databind/type/TypeBindings.getBoundType:(I)Lcom/fasterxml/jackson/databind/JavaType;", "all", 49, 14, 7
"com/fasterxml/jackson/databind/type/TypeFactory._resolveSuperInterfaces:(Lcom/fasterxml/jackson/databind/type/ClassStack;Ljava/lang/Class;Lcom/fasterxml/jackson/databind/type/TypeBindings;)[Lcom/fasterxml/jackson/databind/JavaType;", "all", 48, 25, 2
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder._anyVisible:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;)Z", "all", 48, 22, 4
"com/fasterxml/jackson/databind/introspect/BasicClassIntrospector._findStdTypeDesc:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/introspect/BasicBeanDescription;", "all", 48, 23, 3
"java/util/TreeMap.put:(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;", "all", 48, 46, 2
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.findFactoryMethodMetadata:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedMethod;)Lcom/fasterxml/jackson/databind/introspect/AnnotatedAndMetadata;", "all", 48, 32, 2
"com/fasterxml/jackson/databind/deser/DeserializerCache.findValueDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/deser/DeserializerFactory;Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 46, 32, 4
"com/fasterxml/jackson/databind/DeserializationContext.constructType:(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 46, 18, 4
"com/fasterxml/jackson/databind/PropertyName.hasSimpleName:()Z", "all", 46, 28, 7
"com/fasterxml/jackson/databind/introspect/AnnotatedClass.getConstructors:()Ljava/util/List;", "all", 46, 36, 3
"com/fasterxml/jackson/databind/deser/impl/CreatorCollector.addPropertyCreator:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedWithParams;Z[Lcom/fasterxml/jackson/databind/deser/SettableBeanProperty;)V", "all", 46, 7, 8
"com/fasterxml/jackson/databind/deser/DefaultDeserializationContext.keyDeserializerInstance:(Lcom/fasterxml/jackson/databind/introspect/Annotated;Ljava/lang/Object;)Lcom/fasterxml/jackson/databind/KeyDeserializer;", "all", 45, 17, 6
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder._removeNonVisible:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;)Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;", "all", 44, 15, 4
"com/fasterxml/jackson/databind/introspect/BasicClassIntrospector._resolveAnnotatedClass:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/introspect/ClassIntrospector$MixInResolver;)Lcom/fasterxml/jackson/databind/introspect/AnnotatedClass;", "all", 44, 13, 4
"com/fasterxml/jackson/databind/introspect/AnnotatedClassResolver._addAnnotationsIfNotPresent:(Lcom/fasterxml/jackson/databind/introspect/AnnotationCollector;[Ljava/lang/annotation/Annotation;)Lcom/fasterxml/jackson/databind/introspect/AnnotationCollector;", "all", 44, 17, 6
"com/fasterxml/jackson/databind/cfg/MapperConfigBase.with:([Lcom/fasterxml/jackson/databind/MapperFeature;)Lcom/fasterxml/jackson/databind/cfg/MapperConfigBase;", "all", 44, 25, 2
"java/lang/Integer.valueOf:(I)Ljava/lang/Integer;", "all", 44, 7, 34
"com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector._collectIgnorals:(Ljava/lang/String;)V", "all", 43, 29, 7
"com/fasterxml/jackson/databind/JavaType.getValueHandler:()Ljava/lang/Object;", "all", 42, 5, 19
"com/fasterxml/jackson/databind/util/internal/PrivateMaxEntriesMap.drainReadBuffer:(I)V", "all", 42, 23, 2
"java/lang/StringBuilder.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;", "all", 42, 9, 22
"com/fasterxml/jackson/databind/type/TypeBase.findSuperType:(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 41, 21, 8
"com/fasterxml/jackson/databind/deser/impl/CreatorCollector.addDelegatingCreator:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedWithParams;Z[Lcom/fasterxml/jackson/databind/deser/SettableBeanProperty;I)V", "all", 41, 20, 5
"com/fasterxml/jackson/databind/type/TypeBindings.create:(Ljava/lang/Class;[Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/type/TypeBindings;", "all", 41, 24, 3
"com/houarizegai/calculator/theme/properties/Theme.getNumbersBackground:()Ljava/lang/String;", "all", 40, 9, 11
"java/util/Map$Entry.getValue:()Ljava/lang/Object;", "all", 40, 16, 22
"com/fasterxml/jackson/databind/deser/impl/CreatorCandidate.findImplicitParamName:(I)Lcom/fasterxml/jackson/databind/PropertyName;", "all", 39, 18, 7
"java/lang/IllegalStateException.<init>:(Ljava/lang/String;)V", "all", 39, 12, 24
"com/fasterxml/jackson/databind/deser/BeanDeserializerFactory.addInjectables:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/deser/BeanDeserializerBuilder;)V", "all", 38, 18, 4
"com/fasterxml/jackson/databind/introspect/AnnotatedCreatorCollector.constructNonDefaultConstructor:(Lcom/fasterxml/jackson/databind/util/ClassUtil$Ctor;Lcom/fasterxml/jackson/databind/util/ClassUtil$Ctor;)Lcom/fasterxml/jackson/databind/introspect/AnnotatedConstructor;", "all", 38, 14, 3
"com/fasterxml/jackson/databind/MapperFeature.getLongMask:()J", "all", 38, 17, 4
"com/fasterxml/jackson/databind/introspect/BasicClassIntrospector.forDeserialization:(Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/introspect/ClassIntrospector$MixInResolver;)Lcom/fasterxml/jackson/databind/introspect/BasicBeanDescription;", "all", 38, 38, 1
"com/fasterxml/jackson/databind/type/TypeBindings.<init>:([Ljava/lang/String;[Lcom/fasterxml/jackson/databind/JavaType;[Ljava/lang/String;)V", "all", 38, 12, 6
"com/fasterxml/jackson/databind/cfg/MapperConfig.getHandlerInstantiator:()Lcom/fasterxml/jackson/databind/cfg/HandlerInstantiator;", "all", 37, 14, 8
"com/fasterxml/jackson/databind/PropertyMetadata.withMergeInfo:(Lcom/fasterxml/jackson/databind/PropertyMetadata$MergeInfo;)Lcom/fasterxml/jackson/databind/PropertyMetadata;", "all", 37, 22, 3
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.hasProperty:(Lcom/fasterxml/jackson/databind/PropertyName;)Z", "all", 36, 14, 3
"com/fasterxml/jackson/databind/deser/BeanDeserializerFactory.addBackReferenceProperties:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/deser/BeanDeserializerBuilder;)V", "all", 36, 18, 4
"com/fasterxml/jackson/databind/cfg/DeserializerFactoryConfig.hasDeserializerModifiers:()Z", "all", 36, 8, 17
"com/fasterxml/jackson/databind/JavaType.isTypeOrSubTypeOf:(Ljava/lang/Class;)Z", "all", 36, 12, 8
"com/fasterxml/jackson/databind/DeserializationConfig.isEnabled:(Lcom/fasterxml/jackson/databind/DeserializationFeature;)Z", "all", 36, 33, 3
"com/fasterxml/jackson/databind/introspect/AnnotatedCreatorCollector.collectAnnotations:([[Ljava/lang/annotation/Annotation;[[Ljava/lang/annotation/Annotation;)[Lcom/fasterxml/jackson/databind/introspect/AnnotationMap;", "all", 35, 14, 4
"com/fasterxml/jackson/databind/type/TypeFactory.constructType:(Ljava/lang/reflect/Type;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 35, 19, 2
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.merge:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;)Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;", "all", 35, 10, 4
"com/fasterxml/jackson/databind/ObjectMapper$1.addBeanDeserializerModifier:(Lcom/fasterxml/jackson/databind/deser/BeanDeserializerModifier;)V", "all", 35, 35, 1
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.anyExplicitsWithoutIgnoral:()Z", "all", 35, 23, 2
"com/fasterxml/jackson/databind/ObjectMapper.<init>:(Lcom/fasterxml/jackson/core/JsonFactory;Lcom/fasterxml/jackson/databind/ser/DefaultSerializerProvider;Lcom/fasterxml/jackson/databind/deser/DefaultDeserializationContext;)V", "all", 35, 35, 1
"com/fasterxml/jackson/databind/deser/SettableBeanProperty.<init>:(Lcom/fasterxml/jackson/databind/introspect/BeanPropertyDefinition;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;Lcom/fasterxml/jackson/databind/util/Annotations;)V", "all", 34, 14, 3
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder._mergeAnnotations:(I[Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;)Lcom/fasterxml/jackson/databind/introspect/AnnotationMap;", "all", 34, 8, 6
"com/fasterxml/jackson/databind/deser/impl/CreatorCandidate.injection:(I)Lcom/fasterxml/jackson/annotation/JacksonInject$Value;", "all", 33, 17, 9
