scope, instruction, time (ms), max (ms), num
"all", "InstrCall", 21 928, 66, 6 416
"scc0", "InstrCall", 15 957, 53, 4 434
"scc0", "InstrAnnotate", 13 535, 305, 1 458
"all", "InstrAnnotate", 13 535, 305, 1 458
"annotation", "createContext", 9 359, 282, 1 417
"scc1", "InstrCall", 5 252, 66, 1 744
"all", "InstrAssumeEq", 4 583, 32, 5 785
"all", "InstrDeref", 3 736, 28, 16 666
"all", "InstrPmove", 3 021, 102, 8 204
"scc0", "InstrAssumeEq", 2 900, 32, 3 449
"scc0", "InstrRet", 2 669, 98, 2 002
"all", "InstrRet", 2 669, 98, 2 002
"scc0", "InstrPmove", 2 615, 102, 6 723
"scc0", "InstrDeref", 2 469, 28, 10 731
"all", "InstrWriteDeref", 1 607, 95, 1 479
"scc1", "InstrAssumeEq", 1 568, 22, 2 079
"scc0", "InstrWriteDeref", 1 436, 95, 1 316
"all", "InstrReadDeref", 1 412, 18, 2 274
"annotation", "walk", 1 316, 94, 1 417
"all", "InstrMethodCall", 1 229, 40, 987
"scc1", "InstrDeref", 1 125, 16, 4 961
"scc0", "InstrReadDeref", 1 054, 18, 1 732
"scc0", "InstrAnnotateException", 857, 40, 462
"all", "InstrAnnotateException", 857, 40, 462
"all", "InstrAssumeGreater", 761, 94, 765
"annotation:walk", "addParents", 745, 94, 1 417
"scc0", "InstrMethodCall", 733, 40, 658
"scc2", "InstrCall", 717, 22, 238
"scc1", "InstrAssumeGreater", 520, 94, 466
"scc1", "InstrMethodCall", 463, 24, 277
"annotation:walk", "chooseVisibleElements", 448, 15, 1 417
"scc1", "InstrPmove", 360, 13, 1 272
"scc1", "InstrReadDeref", 326, 12, 484
"all", "InstrAssumeTrue", 283, 25, 513
"scc0", "InstrAssumeTrue", 264, 25, 490
"annotation", "escape", 235, 10, 1 417
"all", "InstrAdd", 223, 9, 285
"scc0", "InstrAssumeGreater", 169, 13, 180
"scc1", "InstrAdd", 158, 8, 198
"scc2", "InstrDeref", 141, 1, 974
"all", "InstrJavaNew", 139, 16, 1 146
"all", "InstrCast", 135, 9, 776
"scc1", "InstrWriteDeref", 127, 24, 107
"scc0", "InstrJavaNew", 117, 16, 1 010
"scc2", "InstrAssumeEq", 114, 5, 257
"all", "InstrJavaArrayLength", 102, 21, 139
"annotation:walk", "collectNodes", 77, 7, 1 417
"all", "InstrAssumeInvoke", 76, 4, 1 140
"scc2", "InstrAssumeGreater", 71, 8, 119
"scc0", "InstrCast", 70, 8, 357
"scc0", "InstrJavaArrayLength", 62, 16, 112
"scc1", "InstrCast", 60, 9, 386
"scc0", "InstrAssumeInvoke", 51, 4, 769
"scc2", "InstrPmove", 44, 2, 209
"scc2", "InstrWriteDeref", 43, 5, 56
"scc1", "InstrJavaArrayLength", 40, 21, 27
"scc2", "InstrAdd", 33, 4, 56
"scc2", "InstrMethodCall", 32, 1, 52
"scc0", "InstrAdd", 31, 9, 31
"scc2", "InstrReadDeref", 31, 4, 58
"scc0", "InstructionsBlock", 30, 4, 1 470
"all", "InstructionsBlock", 30, 4, 1 470
"all", "InstrInstanceOf", 23, 5, 286
"scc1", "InstrAssumeInvoke", 21, 4, 305
"scc0", "InstrInstanceOf", 21, 5, 240
"scc1", "InstrJavaNew", 19, 4, 114
"scc1", "InstrAssumeTrue", 18, 4, 23
"all", "InstrBinaryAnd", 9, 5, 18
"all", "InstrSub", 9, 3, 9
"scc0", "InstrBinaryAnd", 7, 5, 9
"scc0", "InstrSub", 6, 3, 6
"scc0", "InstrRewrite", 6, 1, 353
"all", "InstrRewrite", 6, 1, 353
"all", "InstrShr", 4, 0, 16
"all", "InstrShl", 3, 0, 14
"scc2", "InstrCast", 3, 0, 33
"scc2", "InstrAssumeInvoke", 3, 0, 66
"scc1", "InstrSub", 2, 1, 3
"scc0", "InstrShr", 2, 0, 8
"all", "InstrXor", 2, 1, 6
"scc2", "InstrJavaNew", 2, 0, 22
"scc1", "InstrShl", 2, 0, 10
"scc1", "InstrInstanceOf", 2, 0, 40
"scc1", "InstrXor", 2, 1, 4
"scc1", "InstrShr", 2, 0, 8
"scc0", "InstrMul", 2, 0, 5
"all", "InstrMul", 2, 0, 5
"scc1", "InstrBinaryAnd", 1, 0, 9
"all", "InstrAssumeException", 1, 0, 132
"scc0", "InstrNop", 1, 0, 1 539
"all", "InstrNop", 1, 0, 1 539
"scc0", "InstrShl", 1, 0, 4
"scc0", "InstrAssumeException", 1, 0, 78
"all", "InstrBinaryOr", 0, 0, 4
"scc0", "InstrMakeClosure", 0, 0, 27
"all", "InstrMakeClosure", 0, 0, 27
"scc0", "InstrDiv", 0, 0, 1
"all", "InstrDiv", 0, 0, 1
"scc1", "InstrAssumeException", 0, 0, 54
"scc1", "InstrBinaryOr", 0, 0, 2
"scc0", "InstrJavaAthrow", 0, 0, 3
"all", "InstrJavaAthrow", 0, 0, 3
"scc0", "InstrXor", 0, 0, 2
"scc0", "InstrBinaryOr", 0, 0, 2
"scc0", "InstrMod", 0, 0, 1
"all", "InstrMod", 0, 0, 1
"scc2", "InstrInstanceOf", 0, 0, 6
"scc0", "InstrUserAnnotation", 0, 0, 1
"all", "InstrUserAnnotation", 0, 0, 1
"all", "merge-ctx", 0, 0, 3 051
"scc0", "merge-ctx", 0, 0, 1 779
"scc1", "merge-ctx", 0, 0, 1 120
"scc2", "merge-ctx", 0, 0, 152
