plugin, operation, time (ms), max (ms), num
"DFA", "all", 10 455, 207, 1 470
"DFA", "preliminary", 2 412, 22, 1 251
"Leaks", "Memory", 2 190, 97, 2 464
"overflow.pathsens.ValueSummaryPlugin$ValueDefinitionPropagator", "annotate", 2 022, 95, 5 679
"std.sens.GlobalConditionPlugin$CurrentConditionAnnotator", "annotate", 1 252, 25, 1 038
"newdelete.NewDeletePlugin$AmlReleasedHandler", "annotate", 770, 23, 6 696
"DFA", "interval", 689, 16, 1 470
"derefofnull.NullPointerDereferencePlugin$NullDerefCopyHandler", "deref", 509, 47, 35 701
"math.DivisionByZeroPlugin$ZeroIfHandler", "annotate", 492, 21, 2 162
"DFA", "liveness", 491, 13, 1 470
"Leaks", "Resources", 434, 16, 2 464
"overflow.pathsens.OverflowConditionPlugin$BufferOverflowHandler", "annotate", 412, 85, 58 677
"attr ValueDefinition", "join", 379, 13, 21 746
"derefofnull.DerefOfNullRetSensPlugin$AnnotApplyHandler", "annotate", 364, 9, 1 359
"tainted.sensitive.SensitiveLeakPlugin$LocalVarHandler", "copyNotify", 359, 28, 27 963
"derefofnull.DerefOfNullRetStatPlugin$RetHandler", "deref", 350, 23, 832
"DFA", "null", 345, 12, 1 470
"concurrency.NoLockStatPlugin$ReadWriteHandler", "apply", 326, 10, 123 982
"derefofnull.DerefOfNullPathSensPlugin$DerefChecker", "deref", 318, 48, 25
"derefofnull.DerefOfNullRetStatPlugin$CompareToNullHandler", "notEquals", 310, 22, 567
"uninit.UninitArrayExPlugin$InitOperationsHandler", "apply", 308, 9, 123 982
"derefofnull.NullPointerDereferencePlugin$NullDerefCopyHandler", "apply", 306, 45, 7 419
"DFA", "exception", 299, 10, 2 609
"derefofnull.DerefPathSensPlugin$SuffDereferenceHandler", "deref", 298, 11, 35 701
"std.value.IntervalHandlers$ConstantHandler", "newInt", 292, 15, 22 928
"DFA", "defer-recovery", 287, 48, 1 470
"derefofnull.DerefPathSensPlugin$SuffDereferenceHandler", "apply", 277, 20, 6 843
"cpp.UseAfterMovePlugin$PassedToFuncAfterMoveHandler", "apply", 269, 11, 123 982
"overflow.pathsens.ValueSummaryPlugin$ValueDefinitionPropagator", "apply", 259, 9, 6 959
"DFA", "icmp", 254, 9, 1 470
"intoverflow.IntOverflowUnderCheckPlugin$BoundAttrSetterFromConst", "newInt", 246, 94, 22 928
"concurrency.core.DeadlockJavaPlugin$ReadWriteHandler", "apply", 240, 12, 123 982
"intoverflow.IntOverflowUnderCheckPlugin$BoundAttrSetterFromComparison", "equals", 231, 16, 3 297
"DFA", "pcall", 230, 15, 1 470
"DFA", "unreachable", 222, 13, 2 721
"DFA", "denom", 217, 11, 1 470
"DFA", "predicate", 205, 5, 1 470
"uninit.UninitStructExPlugin$InitOperationsHandler", "passedToFuncAfterApply", 204, 6, 11 997
"uninit.UninitStructExPlugin$InitOperationsHandler", "pmove", 202, 102, 8 204
"DFA", "arith", 201, 26, 1 470
"std.sens.GlobalConditionPlugin$CurrentConditionAnnotator", "apply", 195, 35, 4 944
"ru.isp.svace.sens.strlen.StrLenValuePlugin$AssignNullTerminationHandler", "pmove", 195, 11, 8 204
"concurrency.NonStaticGuardianStatic$AccessHandler", "deref", 195, 24, 35 701
"std.sens.ExceptionConditionPlugin$CopyOpHandler", "apply", 194, 35, 5 732
"overflow.pathsens.OverflowConditionPlugin$BufferOverflowPropagator", "annotationApply", 194, 15, 5 732
"concurrency.NonStaticGuardianStatic$AccessHandler", "apply", 191, 14, 123 982
"concurrency.NoLockStatPlugin$ReadWriteHandler", "compositeAccess", 187, 7, 3 660
"uninit.AbstractUninitExPlugin$AccessUninitLocalVarHandler", "apply", 184, 20, 25 788
"overflow.OverflowUnderCheckPlugin$ValueProjectionHandler", "equals", 173, 16, 5 486
"leaks.EscapePlugin$ApplyCommonHandler", "annotationApply", 170, 7, 5 732
"overflow.pathsens.ValueSummaryPlugin$ConstantDefinitionCreater", "newInt", 168, 6, 11 464
"uninit.UsePlugin$ApplyAnnotateHandler", "apply", 158, 10, 12 894
"std.OldPureFunctionPlugin$PurePropertyHandler", "deref", 155, 9, 35 701
"exception.UncaughtExceptionsPlugin$CommonCallHandler", "applyPath", 150, 8, 5 732
"tainted.sensitive.SensitiveLeakPlugin$ClearHandler", "apply", 148, 10, 123 982
"derefofnull.DerefOfNullPathSensPlugin$NullSetter", "newInt", 147, 8, 11 464
"grep.LightApiCheckerPlugin$BadKeyWordHandler", "derefExplicitly", 145, 12, 66 664
"tainted.loop.SccIteratorPlugin$TrueIteratorHandler", "derefExplicitly", 144, 5, 16 666
"junitassert.MissingFieldAssertPlugin$CallInstrHandler", "handleCall", 143, 24, 6 424
"std.PCallPlugin$CopyHandler", "derefExplicitly", 142, 7, 16 666
"attr ZeroIf", "join", 140, 13, 17 116
"std.BooleanInvariantPlugin$EqualsProjectionHandler", "globalNotEquals", 136, 24, 3 111
"attr NullIf", "join", 134, 19, 8 648
"handlers.SoundValueSetBoundHandler$SoundValueSetBoundJoinHandler", "join", 133, 6, 9 369
"std.OldPureFunctionPlugin$SameCallsHandler", "apply", 127, 16, 5 024
"ru.isp.svace.sens.strlen.StringAccessPlugin$StringAccessDeref", "derefExplicitly", 126, 7, 16 666
"tainted.TaintedInfiniteLoopExPlugin$Checker", "nextIterationForVar", 125, 8, 56 632
"exception.UncaughtExceptionsPlugin$CommonCallHandler", "functionEnd", 123, 14, 1 458
"uninit.UninitStructExPlugin$InitOperationsHandler", "passedToUnknownFunc", 122, 11, 10 877
"derefofnull.DerefOfNullRetStatPlugin$RetHandler", "funcRetCall", 122, 10, 5 527
"uninit.UninitArrayExPlugin$InitOperationsHandler", "compositeAssignment", 121, 93, 1 510
"tainted.sensitive.SensitiveLeakPlugin$LocalVarHandler", "funcRetCall", 121, 9, 5 527
"overflow.StringLengthPlugin$ConstantCatchHandler", "newString", 118, 14, 1 920
"std.UnreachablePlugin$UnreachableCodeHandler", "out", 118, 11, 65 997
"grep.LightApiCheckerPlugin$BadKeyWordHandler", "passedToFunc", 113, 14, 55 204
"tainted.loop.InfiniteLoopStringPlugin$IteratorCopyOpHandler", "derefExplicitly", 112, 7, 16 666
"newdelete.DanglingPointerStatPlugin$Checker", "apply", 109, 17, 247 964
"derefofnull.PtrNullObserverPlugin$NullSetter", "newInt", 108, 9, 11 464
"tainted.loop.SccIteratorPlugin$Cleaner", "nextIterationForVar", 105, 9, 56 632
